num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
2,Internet,RoundTrip,246,24,4,Sat,AKLKUL,0,0,0,8.83,0
1,Mobile,RoundTrip,44,19,7,Sun,AKLKUL,1,0,0,8.83,0
1,Mobile,RoundTrip,32,60,2,Wed,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,198,20,5,Mon,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,94,22,15,Fri,AKLKUL,1,0,1,8.83,0
2,Internet,RoundTrip,282,18,16,Sat,AKLKUL,1,1,0,8.83,0
2,Internet,RoundTrip,113,47,17,Sat,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,49,40,17,Fri,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,186,19,15,Sun,AKLKUL,0,0,0,8.83,1
2,Internet,RoundTrip,74,31,7,Wed,AKLKUL,1,1,0,8.83,0
1,Internet,RoundTrip,29,48,12,Fri,AKLKUL,1,0,0,8.83,0
1,Mobile,RoundTrip,55,20,7,Sat,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,231,89,11,Sun,AKLKUL,0,0,1,8.83,0
2,Internet,RoundTrip,54,209,12,Wed,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,156,22,8,Wed,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,285,20,14,Wed,AKLKUL,1,1,0,8.83,1
1,Internet,RoundTrip,218,27,6,Mon,AKLKUL,0,0,1,8.83,0
1,Internet,RoundTrip,363,31,16,Sun,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,61,41,16,Sun,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,352,20,1,Sun,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,77,35,7,Mon,AKLKUL,0,0,1,8.83,0
2,Internet,RoundTrip,255,33,10,Sat,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,280,80,8,Mon,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,11,30,5,Mon,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,269,20,6,Tue,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,10,61,9,Fri,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,244,30,3,Wed,AKLKUL,1,0,1,8.83,1
2,Internet,RoundTrip,75,21,9,Sat,AKLKUL,0,0,0,8.83,1
1,Internet,RoundTrip,119,21,22,Sun,AKLKUL,0,1,0,8.83,0
1,Internet,RoundTrip,50,17,10,Wed,AKLKUL,1,1,1,8.83,1
1,Internet,RoundTrip,30,85,15,Fri,AKLKUL,1,0,0,8.83,1
2,Internet,RoundTrip,74,22,13,Wed,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,27,62,13,Tue,AKLKUL,1,0,1,8.83,0
1,Mobile,RoundTrip,121,19,10,Tue,AKLKUL,1,0,0,8.83,1
1,Internet,RoundTrip,293,44,2,Wed,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,207,78,15,Fri,AKLKUL,1,1,1,8.83,0
1,Mobile,RoundTrip,280,35,2,Sun,AKLKUL,1,1,1,8.83,1
1,Internet,RoundTrip,86,29,3,Fri,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,252,25,9,Tue,AKLKUL,0,0,0,8.83,1
5,Internet,RoundTrip,81,17,14,Thu,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,60,18,9,Mon,AKLKUL,1,0,1,8.83,1
2,Internet,RoundTrip,8,25,6,Sat,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,7,68,5,Mon,AKLKUL,1,0,1,8.83,0
1,Mobile,RoundTrip,269,20,6,Sun,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,27,20,8,Sat,AKLKUL,1,1,0,8.83,0
4,Mobile,RoundTrip,292,22,5,Wed,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,34,28,8,Sat,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,73,17,15,Sun,AKLKUL,1,0,0,8.83,1
1,Internet,RoundTrip,159,20,15,Sun,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,363,18,0,Sun,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,41,41,15,Mon,AKLKUL,1,1,0,8.83,0
2,Mobile,RoundTrip,79,37,11,Sun,AKLKUL,1,0,1,8.83,0
1,Mobile,RoundTrip,94,64,9,Sun,AKLKUL,1,1,0,8.83,0
2,Internet,RoundTrip,9,41,11,Mon,AKLKUL,1,0,0,8.83,1
1,Internet,RoundTrip,61,83,2,Wed,AKLKUL,1,1,1,8.83,1
3,Internet,RoundTrip,122,19,13,Mon,AKLKUL,1,1,0,8.83,0
7,Internet,RoundTrip,321,17,1,Tue,AKLKUL,1,0,1,8.83,0
2,Internet,RoundTrip,186,20,17,Sat,AKLKUL,1,1,1,8.83,1
2,Internet,RoundTrip,133,19,17,Wed,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,16,30,6,Sat,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,58,21,4,Sat,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,286,21,6,Sat,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,349,17,17,Sun,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,97,23,6,Sun,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,17,79,7,Thu,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,125,181,13,Mon,AKLKUL,1,1,0,8.83,1
1,Internet,RoundTrip,7,20,5,Mon,AKLKUL,1,0,0,8.83,1
3,Internet,RoundTrip,222,17,2,Wed,AKLKUL,1,1,0,8.83,0
2,Internet,RoundTrip,162,18,8,Fri,AKLKUL,1,1,1,8.83,0
2,Mobile,RoundTrip,52,28,14,Wed,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,46,23,9,Fri,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,89,21,14,Wed,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,125,181,13,Mon,AKLKUL,1,1,0,8.83,1
2,Internet,RoundTrip,66,18,4,Tue,AKLKUL,0,0,1,8.83,1
1,Mobile,RoundTrip,94,92,8,Sun,AKLKUL,1,0,0,8.83,0
5,Internet,RoundTrip,145,47,11,Wed,AKLKUL,1,0,1,8.83,0
9,Internet,RoundTrip,164,17,7,Fri,AKLKUL,1,0,0,8.83,0
2,Mobile,RoundTrip,74,19,9,Sat,AKLKUL,0,0,0,8.83,0
4,Mobile,RoundTrip,74,27,9,Wed,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,414,305,5,Tue,AKLKUL,0,1,0,8.83,0
1,Internet,RoundTrip,131,88,17,Tue,AKLKUL,1,1,0,8.83,0
2,Internet,RoundTrip,98,20,16,Wed,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,411,23,6,Tue,AKLKUL,1,1,1,8.83,0
2,Internet,RoundTrip,291,17,3,Sat,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,136,30,17,Tue,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,152,17,2,Wed,AKLKUL,1,0,1,8.83,0
2,Internet,RoundTrip,287,20,13,Wed,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,279,18,7,Sun,AKLKUL,1,1,0,8.83,0
1,Internet,RoundTrip,63,278,14,Wed,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,68,26,14,Tue,AKLKUL,1,0,1,8.83,1
2,Internet,RoundTrip,331,17,13,Wed,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,359,20,7,Tue,AKLKUL,0,0,1,8.83,0
1,Internet,RoundTrip,318,23,2,Sun,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,26,39,6,Fri,AKLKUL,1,0,1,8.83,0
2,Internet,RoundTrip,95,86,13,Mon,AKLKUL,1,1,1,8.83,0
3,Internet,RoundTrip,57,30,15,Mon,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,26,31,14,Sun,AKLKUL,1,0,1,8.83,0
6,Internet,RoundTrip,219,17,17,Thu,AKLKUL,1,1,1,8.83,1
1,Internet,RoundTrip,82,17,9,Sun,AKLKUL,0,0,1,8.83,0
3,Internet,RoundTrip,168,21,1,Tue,AKLKUL,1,0,0,8.83,1
3,Internet,RoundTrip,320,29,0,Wed,AKLKUL,1,0,1,8.83,1
4,Internet,RoundTrip,70,89,7,Sat,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,194,37,8,Tue,AKLKUL,1,1,1,8.83,1
1,Internet,RoundTrip,40,35,7,Tue,AKLKUL,1,0,1,8.83,1
3,Internet,RoundTrip,46,88,7,Wed,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,146,21,6,Sun,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,24,18,12,Sun,AKLKUL,0,0,0,8.83,0
2,Internet,RoundTrip,204,20,13,Fri,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,20,72,14,Sat,AKLKUL,1,0,1,8.83,0
4,Internet,RoundTrip,5,31,8,Wed,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,27,45,7,Mon,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,21,32,9,Thu,AKLKUL,1,0,1,8.83,0
2,Internet,RoundTrip,177,89,11,Sun,AKLKUL,1,0,1,8.83,0
4,Internet,RoundTrip,295,18,9,Mon,AKLKUL,0,0,1,8.83,0
1,Internet,RoundTrip,22,20,7,Thu,AKLKUL,1,1,1,8.83,0
2,Internet,RoundTrip,93,19,12,Wed,AKLKUL,0,0,1,8.83,0
1,Internet,RoundTrip,25,28,8,Mon,AKLKUL,1,1,1,8.83,1
1,Internet,RoundTrip,33,17,4,Mon,AKLKUL,0,0,0,8.83,0
1,Mobile,RoundTrip,116,25,6,Mon,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,243,162,10,Mon,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,225,28,8,Mon,AKLKUL,0,0,0,8.83,0
6,Internet,RoundTrip,39,21,8,Tue,AKLKUL,1,0,0,8.83,1
3,Internet,RoundTrip,206,28,15,Mon,AKLKUL,1,1,0,8.83,0
1,Internet,RoundTrip,27,28,9,Thu,AKLKUL,1,1,1,8.83,1
6,Internet,RoundTrip,277,22,4,Thu,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,79,32,7,Fri,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,79,90,4,Wed,AKLKUL,1,0,1,8.83,1
2,Internet,RoundTrip,86,18,8,Thu,AKLKUL,1,1,1,8.83,1
2,Internet,RoundTrip,28,22,16,Wed,AKLKUL,1,0,0,8.83,0
3,Internet,RoundTrip,17,109,15,Tue,AKLKUL,1,1,1,8.83,0
2,Internet,RoundTrip,316,35,7,Sat,AKLKUL,0,0,0,8.83,0
1,Mobile,RoundTrip,23,78,8,Sun,AKLKUL,1,0,1,8.83,0
2,Internet,RoundTrip,188,27,15,Wed,AKLKUL,1,0,1,8.83,1
2,Internet,RoundTrip,199,35,14,Sun,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,75,30,6,Wed,AKLKUL,1,1,0,8.83,1
3,Internet,RoundTrip,363,17,16,Sun,AKLKUL,1,0,0,8.83,0
1,Mobile,RoundTrip,377,35,10,Sun,AKLKUL,1,0,0,8.83,1
1,Internet,RoundTrip,63,19,8,Mon,AKLKUL,1,0,0,8.83,1
3,Internet,RoundTrip,233,29,8,Wed,AKLKUL,1,1,0,8.83,0
1,Internet,RoundTrip,60,17,17,Tue,AKLKUL,0,0,0,8.83,1
1,Internet,RoundTrip,105,21,8,Tue,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,16,18,6,Sat,AKLKUL,0,0,0,8.83,0
2,Internet,RoundTrip,114,18,0,Wed,AKLKUL,1,1,1,8.83,1
2,Internet,RoundTrip,282,18,3,Wed,AKLKUL,1,1,1,8.83,1
1,Internet,RoundTrip,73,87,0,Sat,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,83,140,10,Sun,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,32,42,17,Thu,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,380,19,13,Mon,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,263,58,4,Sun,AKLKUL,0,1,0,8.83,0
1,Mobile,RoundTrip,22,17,15,Sun,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,386,25,3,Mon,AKLKUL,1,1,1,8.83,1
1,Internet,RoundTrip,352,22,5,Sun,AKLKUL,1,1,1,8.83,1
3,Internet,RoundTrip,52,21,15,Thu,AKLKUL,1,1,1,8.83,0
2,Internet,RoundTrip,394,18,19,Sat,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,8,17,1,Wed,AKLKUL,1,1,1,8.83,1
1,Internet,RoundTrip,105,17,15,Wed,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,32,25,13,Mon,AKLKUL,0,0,0,8.83,0
1,Mobile,RoundTrip,30,44,9,Sat,AKLKUL,1,1,0,8.83,1
4,Internet,RoundTrip,292,22,4,Sat,AKLKUL,1,0,1,8.83,0
2,Internet,RoundTrip,71,32,6,Mon,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,170,23,4,Sat,AKLKUL,1,1,1,8.83,0
2,Mobile,RoundTrip,118,17,4,Fri,AKLKUL,0,0,0,8.83,1
2,Mobile,RoundTrip,183,24,17,Sat,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,55,78,7,Thu,AKLKUL,1,0,1,8.83,0
2,Internet,RoundTrip,57,62,4,Sun,AKLKUL,0,0,0,8.83,0
2,Internet,RoundTrip,276,20,15,Thu,AKLKUL,0,0,0,8.83,0
4,Internet,RoundTrip,106,20,8,Thu,AKLKUL,1,1,1,8.83,1
2,Internet,RoundTrip,235,19,9,Mon,AKLKUL,0,0,0,8.83,1
1,Mobile,RoundTrip,226,33,5,Tue,AKLKUL,1,0,0,8.83,1
1,Internet,RoundTrip,232,20,12,Thu,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,280,80,8,Mon,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,186,21,10,Mon,AKLKUL,1,0,1,8.83,1
2,Internet,RoundTrip,389,17,6,Fri,AKLKUL,0,0,0,8.83,1
1,Internet,RoundTrip,302,56,10,Tue,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,116,27,7,Sun,AKLKUL,1,0,0,8.83,1
4,Internet,RoundTrip,316,17,2,Thu,AKLKUL,1,0,0,8.83,1
2,Internet,RoundTrip,372,24,5,Sun,AKLKUL,1,0,1,8.83,0
2,Internet,RoundTrip,215,19,15,Sun,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,131,184,5,Wed,AKLKUL,0,0,1,8.83,0
5,Internet,RoundTrip,393,17,1,Sun,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,16,30,6,Sat,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,119,21,6,Wed,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,330,18,2,Thu,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,18,50,10,Sat,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,122,18,16,Tue,AKLKUL,1,0,1,8.83,1
4,Internet,RoundTrip,98,17,4,Wed,AKLKUL,1,1,1,8.83,1
2,Internet,RoundTrip,40,53,3,Wed,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,76,17,15,Thu,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,5,291,13,Fri,AKLKUL,1,0,1,8.83,0
3,Internet,RoundTrip,205,30,3,Sun,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,119,24,2,Fri,AKLKUL,0,0,0,8.83,0
2,Internet,RoundTrip,255,17,5,Fri,AKLKUL,0,0,0,8.83,0
2,Mobile,RoundTrip,18,329,4,Sun,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,368,17,6,Sun,AKLKUL,0,1,1,8.83,1
2,Internet,RoundTrip,38,26,14,Mon,AKLKUL,1,1,0,8.83,1
1,Internet,RoundTrip,47,17,3,Sat,AKLKUL,1,0,0,8.83,1
1,Internet,RoundTrip,242,23,5,Sat,AKLKUL,0,0,0,8.83,0
